,Grid,Disturbance,Range
382,WAB,0.1567,WSAR
383,WAB,0.5222,WSAR
384,WAB,0.6,WSAR
385,WAB,4.7582,WSAR
386,WAB,0.5025,WSAR
387,WAB,1.037,WSAR
388,WAB,3.5801,WSAR
389,WAB,0.8528,WSAR
390,WAB,19.4755,WSAR
391,WAB,9.5101,WSAR
392,WAB,8.6027,WSAR
393,WAB,8.5238,WSAR
394,WAB,13.6214,WSAR
395,WAB,9.9142,WSAR
396,WAB,8.4922,WSAR
397,WAB,8.0389,WSAR
398,WAB,9.4974,WSAR
399,WAB,14.4325,WSAR
400,WAB,8.7865,WSAR
401,WAB,9.8278,WSAR
402,WAB,10.0371,WSAR
403,WAB,9.5326,WSAR
404,WAB,1.2271,WSAR
405,WAB,3.3168,WSAR
406,WAB,1.199,WSAR
407,WAB,1.0267,WSAR
408,WAB,1.8652,WSAR
409,WAB,2.7832,WSAR
410,WAB,1.7937,WSAR
411,WAB,3.487,WSAR
412,WAB,3.3844,WSAR
413,WAB,2.6894,WSAR
414,WAB,2.3566,WSAR
415,WAB,3.2905,WSAR
416,WAB,1.4337,WSAR
417,WAB,0.6001,WSAR
418,WAB,2.1217,WSAR
419,WAB,1.1092,WSAR
420,WAB,0.6023,WSAR
421,WAB,1.2085,WSAR
422,WAB,1.2193,WSAR
423,WAB,0.5539,WSAR
424,WAB,1.9967,WSAR
425,WAB,2.7201,WSAR
426,WAB,0.8417,WSAR
427,CHR,1.3623,ESAR
428,CHR,4.2377,ESAR
429,CHR,14.0741,ESAR
430,CHR,54.7323,ESAR
431,CHR,4.7961,ESAR
432,CHR,0.6204,ESAR
433,CHR,29.875,ESAR
434,CHR,10.4655,ESAR
435,CHR,0,ESAR
436,CHR,6.8126,ESAR
437,CHR,5.4692,ESAR
438,CHR,13.7889,ESAR
439,CHR,16.3498,ESAR
440,CHR,6.9633,ESAR
441,CHR,10.766,ESAR
442,CHR,2.9956,ESAR
443,CHR,1.9883,ESAR
444,CHR,1.3248,ESAR
445,CHR,3.7134,ESAR
446,CHR,3.7068,ESAR
447,CHR,8.7711,ESAR
448,CHR,0,ESAR
449,CHR,5.3831,ESAR
450,CHR,28.0856,ESAR
451,CHR,2.4478,ESAR
452,CHR,3.4615,ESAR
453,CHR,12.0974,ESAR
454,CHR,17.7401,ESAR
455,CHR,3.0635,ESAR
456,CHR,23.5389,ESAR
457,CHR,8.0187,ESAR
458,CHR,57.3257,ESAR
459,CHR,7.1487,ESAR
460,CHR,16.0467,ESAR
461,CHR,7.8893,ESAR
462,CHR,0.3457,ESAR
463,CHR,17.5035,ESAR
464,CHR,68.3656,ESAR
465,CHR,29.1237,ESAR
466,CHR,4.3523,ESAR
467,CHR,0.3882,ESAR
468,CHR,1.0021,ESAR
469,CHR,2.9306,ESAR
470,CHR,28.8445,ESAR
471,CHR,61.8882,ESAR
472,CHR,14.613,ESAR
473,CHR,8.4106,ESAR
474,CHR,3.1146,ESAR
475,CHR,0.7584,ESAR
476,CHR,2.502,ESAR
477,CHR,10.3219,ESAR
478,CHR,14.3223,ESAR
479,CHR,4.0715,ESAR
480,CHR,9.1786,ESAR
481,CHR,5.1744,ESAR
482,CHR,6.3355,ESAR
483,CHR,8.0219,ESAR
484,CHR,15.3199,ESAR
485,CHR,4.976,ESAR
486,CHR,1.7619,ESAR
487,CHR,3.1786,ESAR
488,CHR,13.0332,ESAR
489,CHR,14.1483,ESAR
490,CHR,11.8401,ESAR
491,CHR,4.63,ESAR
492,CHR,5.3671,ESAR
493,CHR,2.179,ESAR
494,CHR,12.4725,ESAR
495,CHR,24.0752,ESAR
496,CHR,24.473,ESAR
497,CHR,23.1663,ESAR
498,CHR,11.8951,ESAR
499,CHR,14.229,ESAR
500,CHR,12.05,ESAR
501,PEL,2.1549,WSAR
502,PEL,0.5137,WSAR
503,PEL,1.2464,WSAR
504,PEL,1.8641,WSAR
505,PEL,1.4958,WSAR
506,PEL,3.1287,WSAR
507,PEL,1.8315,WSAR
508,PEL,3.0015,WSAR
509,PEL,1.5806,WSAR
510,PEL,1.3566,WSAR
511,PEL,0.3608,WSAR
512,PEL,1.2008,WSAR
513,PEL,0.6002,WSAR
514,PEL,0.4481,WSAR
515,PEL,0.7038,WSAR
516,PEL,0.4967,WSAR
517,PEL,3.3096,WSAR
518,PEL,5.5833,WSAR
519,PEL,3.415,WSAR
520,PEL,1.9426,WSAR
521,PEL,2.7381,WSAR
522,PEL,0.6076,WSAR
523,PEL,1.365,WSAR
524,PEL,3.4965,WSAR
525,PEL,1.788,WSAR
526,PEL,2.4276,WSAR
527,PEL,1.8466,WSAR
528,PEL,0.9274,WSAR
529,PEL,4.099,WSAR
530,PEL,4.8199,WSAR
531,PEL,6.3902,WSAR
532,PEL,2.1396,WSAR
533,PEL,1.6714,WSAR
534,PEL,1.1967,WSAR
535,PEL,2.4201,WSAR
536,PEL,1.2539,WSAR
537,PEL,2.2572,WSAR
538,PEL,5.3518,WSAR
539,PEL,4.6718,WSAR
